R_fighter,B_fighter,R_odds,B_odds,date,City,State/Province,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,height_dif,reach_dif,age_dif,Finish2,finish,finish_details,finish_round,finish_round_time
Anthony Pettis,Alex Morono,-210,175,12/19/2020,Las Vegas,Nevada,USA,Red,FALSE,Welterweight,MALE,3,Orthodox,180.34,182.88,170,Orthodox,177.8,182.88,155,33,30,2.54,0,-3,U-DEC,U-DEC,N/A,3,5:00
Christos Giagos,Carlton Minus,-345,285,12/19/2020,Las Vegas,Nevada,USA,Red,FALSE,Catch Weight,MALE,3,Orthodox,177.8,190.5,170,Orthodox,177.8,180.34,155,30,27,0,10.16,-3,U-DEC,U-DEC,N/A,3,5:00
Deron Winn,Antonio Arroyo,160,-185,12/19/2020,Las Vegas,Nevada,USA,Red,FALSE,Catch Weight,MALE,3,Orthodox,190.5,185.42,185,Orthodox,167.64,177.8,185,31,31,22.86,7.62,0,U-DEC,U-DEC,N/A,3,5:00
Gillian Robertson,Taila Santos,-145,125,12/19/2020,Las Vegas,Nevada,USA,Blue,FALSE,Women's Flyweight,FEMALE,3,Orthodox,165.1,160.02,125,Orthodox,167.64,172.72,125,27,25,-2.54,-12.7,-2,U-DEC,U-DEC,N/A,3,5:00
Jimmy Flick,Cody Durden,-157,137,12/19/2020,Las Vegas,Nevada,USA,Red,FALSE,Flyweight,MALE,3,Southpaw,170.18,170.18,125,Orthodox,170.18,172.72,125,30,29,0,-2.54,-1,SUB,SUB,Triangle choke,1,3:18
Jose Aldo,Marlon Vera,-140,120,12/19/2020,Las Vegas,Nevada,USA,Red,FALSE,Bantamweight,MALE,3,Switch,172.72,177.8,135,Orthodox,170.18,177.8,135,34,28,2.54,0,-6,U-DEC,U-DEC,N/A,3,5:00
Marcin Tybura,Greg Hardy,-110,-110,12/19/2020,Las Vegas,Nevada,USA,Red,FALSE,Heavyweight,MALE,3,Orthodox,195.58,203.2,265,Orthodox,190.5,198.12,249,35,32,5.08,5.08,-3,KO/TKO,KO/TKO,Punches,2,4:31
Marlon Moraes,Rob Font,-170,150,12/19/2020,Las Vegas,Nevada,USA,Blue,FALSE,Bantamweight,MALE,3,Orthodox,167.64,170.18,135,Orthodox,172.72,180.34,135,33,32,-5.08,-10.16,-1,KO/TKO,KO/TKO,Punches,1,3:47
Michel Pereira,Khaos Williams,105,-125,12/19/2020,Las Vegas,Nevada,USA,Red,FALSE,Welterweight,MALE,3,Orthodox,182.88,195.58,170,Orthodox,185.42,185.42,170,27,26,-2.54,10.16,-1,U-DEC,U-DEC,N/A,3,5:00
Sijara Eubanks,Pannie Kianzad,-140,120,12/19/2020,Las Vegas,Nevada,USA,Blue,FALSE,Women's Bantamweight,FEMALE,3,Orthodox,162.56,170.18,135,Orthodox,170.18,167.64,135,29,35,-7.62,2.54,6,U-DEC,U-DEC,N/A,3,5:00
Stephen Thompson,Geoff Neal,-103,-117,12/19/2020,Las Vegas,Nevada,USA,Red,FALSE,Welterweight,MALE,5,Southpaw,180.34,190.5,170,Orthodox,182.88,190.5,170,37,30,-2.54,0,-7,U-DEC,U-DEC,N/A,3,5:00
Tafon Nchukwi,Jamie Pickett,-335,275,12/19/2020,Las Vegas,Nevada,USA,Red,FALSE,Middleweight,MALE,3,Orthodox,187.96,203.2,185,Orthodox,182.88,195.58,205,26,32,5.08,7.62,6,U-DEC,U-DEC,N/A,3,5:00
